# Generated: 2026-06-09T01:16:42+00:00 UTC
# Script:    parse_xy_coordinates.py
# Git:       f476b12 Add calcium-claims validation pipeline + XY ground-truth layer (DIRTY working tree)
# Python:    3.14.4
# Packages:  Pillow=12.0.0, PyPDF2=3.0.1, matplotlib=3.10.7, numpy=2.2.6, opencv-python=4.12.0.88, openpyxl=3.1.5, …
#
prefix,video_stem,side,landmark_raw,landmark_class,frame,x,y
WG34,WG34_C-oHTHT-pT-Zoom5.70,Left,poke location,poke,1,1164.0,432.0
WG34,WG34_C-oHTHT-pT-Zoom5.70,Left,CG response,cement_gland,1,249.0,630.0
WG35,WG35_C-oHTHT-pT-Zoom6.10,Left,Head,head,1,112.0,444.0
WG35,WG35_C-oHTHT-pT-Zoom6.10,Left,Tail,tail,1,1508.0,420.0
WG35,WG35_C-oHTHT-pT-Zoom6.10,Right,Head,head,1,1436.0,468.0
WG35,WG35_C-oHTHT-pT-Zoom6.10,Right,Tail,tail,1,2876.0,344.0
WG35,WG35_C-oHTHT-pT-Zoom6.10,Left,poke location,poke,1,1132.0,484.0
WG36,WG36_C-oHTHT-pT-Zoom6.00,Left,Head,head,1,93.0,465.0
WG36,WG36_C-oHTHT-pT-Zoom6.00,Left,Tail,tail,1,1518.0,444.0
WG36,WG36_C-oHTHT-pT-Zoom6.00,Right,Head,head,1,1473.0,360.0
WG36,WG36_C-oHTHT-pT-Zoom6.00,Right,Tail,tail,1,2910.0,303.0
WG36,WG36_C-oHTHT-pT-Zoom6.00,Left,poke location,poke,1,1065.0,447.0
WG36,WG36_C-oHTHT-pT-Zoom6.00,Left,CG response,cement_gland,1,228.0,582.0
WG37,WG37_C-oHTHT-pT-Zoom6.00,Left,Head,head,1,96.0,412.0
WG37,WG37_C-oHTHT-pT-Zoom6.00,Left,Tail,tail,1,1472.0,372.0
WG37,WG37_C-oHTHT-pT-Zoom6.00,Right,Head,head,1,1424.0,436.0
WG37,WG37_C-oHTHT-pT-Zoom6.00,Right,Tail,tail,1,2804.0,440.0
WG37,WG37_C-oHTHT-pT-Zoom6.00,Left,poke location,poke,1,1056.0,456.0
WG39,WG39_C-oHTHT-pT-Zoom5.60,Left,Head,head,1,80.0,380.0
WG39,WG39_C-oHTHT-pT-Zoom5.60,Left,Tail,tail,1,1484.0,348.0
WG39,WG39_C-oHTHT-pT-Zoom5.60,Right,Head,head,1,1484.0,316.0
WG39,WG39_C-oHTHT-pT-Zoom5.60,Right,Tail,tail,1,2860.0,296.0
WG39,WG39_C-oHTHT-pT-Zoom5.60,Left,poke location,poke,1,1020.0,464.0
WG39,WG39_C-oHTHT-pT-Zoom5.60,Left,CG response,cement_gland,1,212.0,552.0
WG41,,Left,Head,head,1,156.0,438.0
WG41,,Left,Tail,tail,1,1578.0,390.0
WG41,,Right,Head,head,1,1482.0,384.0
WG41,,Right,Tail,tail,1,2820.0,354.0
WG41,,Left,poke location,poke,1,1206.0,504.0
WG41,,Right,tail response,tail_response,80,2790.0,330.0
WG44,WG44_C-oHTHT-pT-Zoom5.60,Left,Head,head,1,80.0,412.0
WG44,WG44_C-oHTHT-pT-Zoom5.60,Left,Tail,tail,1,1536.0,364.0
WG44,WG44_C-oHTHT-pT-Zoom5.60,Right,Head,head,1,1480.0,376.0
WG44,WG44_C-oHTHT-pT-Zoom5.60,Right,Tail,tail,1,2824.0,472.0
WG44,WG44_C-oHTHT-pT-Zoom5.60,Left,poke location,poke,1,1168.0,548.0
WG44,WG44_C-oHTHT-pT-Zoom5.60,Right,tail signal,tail_response,228,2780.0,480.0
PG46,PG46_C-oHTHT-pT-Zoom5.40,Left,Head,head,1,51.0,570.0
PG46,PG46_C-oHTHT-pT-Zoom5.40,Left,Tail,tail,1,1368.0,381.0
PG46,PG46_C-oHTHT-pT-Zoom5.40,Right,Head,head,1,1347.0,336.0
PG46,PG46_C-oHTHT-pT-Zoom5.40,Right,Tail,tail,1,2805.0,330.0
PG46,PG46_C-oHTHT-pT-Zoom5.40,Left,Pressure location,pressure,1,1059.0,480.0
PG87,PG87_C-oHTHT-pT-Zoom5.60,Left,Head,head,1,168.0,448.0
PG87,PG87_C-oHTHT-pT-Zoom5.60,Left,Tail,tail,1,1400.0,448.0
PG87,PG87_C-oHTHT-pT-Zoom5.60,Right,Head,head,1,1308.0,360.0
PG87,PG87_C-oHTHT-pT-Zoom5.60,Right,Tail,tail,1,2548.0,340.0
PG87,PG87_C-oHTHT-pT-Zoom5.60,Left,Pressure location,pressure,1,992.0,456.0
PG88,PG88_C-oHTHT-pT-Zoom5.60,Left,Head,head,1,104.0,500.0
PG88,PG88_C-oHTHT-pT-Zoom5.60,Left,Tail,tail,1,1508.0,580.0
PG88,PG88_C-oHTHT-pT-Zoom5.60,Right,Head,head,1,1404.0,432.0
PG88,PG88_C-oHTHT-pT-Zoom5.60,Right,Tail,tail,1,2736.0,456.0
PG88,PG88_C-oHTHT-pT-Zoom5.60,Left,Pressure location,pressure,1,1044.0,500.0
WGD81,WGD81_C-oHTHT-pT-Zoom5.60,Left,Head,head,1,8.0,508.0
WGD81,WGD81_C-oHTHT-pT-Zoom5.60,Left,Tail,tail,1,1304.0,440.0
WGD81,WGD81_C-oHTHT-pT-Zoom5.60,Right,Head,head,1,1504.0,448.0
WGD81,WGD81_C-oHTHT-pT-Zoom5.60,Right,Tail,tail,1,2752.0,440.0
WGD81,WGD81_C-oHTHT-pT-Zoom5.60,Left,poke location,poke,1,984.0,524.0
WGD82,WGD82_C-oHTHT-pT-Zoom5.60,Left,Head,head,1,80.0,456.0
WGD82,WGD82_C-oHTHT-pT-Zoom5.60,Left,Tail,tail,1,1264.0,416.0
WGD82,WGD82_C-oHTHT-pT-Zoom5.60,Right,Head,head,1,1484.0,408.0
WGD82,WGD82_C-oHTHT-pT-Zoom5.60,Right,Tail,tail,1,2796.0,388.0
